PC - Headsets / Headphones,0
Accessories - PS2,1
Accessories - PS3,2
Accessories - PS4,3
Accessories - PSP,4
Accessories - PSVita,5
Accessories - XBOX 360,6
Accessories - XBOX ONE,7
Tickets (figure),8
Delivery of goods,9
Game Consoles - PS2,10
Game Consoles - PS3,11
Game Consoles - PS4,12
Game Consoles - PSP,13
Game Consoles - PSVita,14
Game Consoles - XBOX 360,15
Game Consoles - XBOX ONE,16
Game Consoles - Other,17
Games - PS2,18
Games - PS3,19
Games - PS4,20
Games - PSP,21
Games - PSVita,22
Games - XBOX 360,23
Games - XBOX ONE,24
Games - Accessories for games,25
Android games - Digit,26
MAC Games - Digit,27
PC Games - Additional Edition,28
PC Games - Collector's Edition,29
PC Games - Standard Edition,30
PC Games - Digit,31
"Payment cards (Movies, Music, Games)",32
Payment cards - Live!,33
Payment cards - Live! ,34
Payment cards - PSN,35
Payment Cards - Windows (Digital),36
Movies - Blu-Ray,37
Movies - Blu-Ray 3D,38
Movies - Blu-Ray 4K,39
Cinema - DVD,40
Cinema - Collector's,41
"Books - Artbook, encyclopedia",42
Books - Audiobooks,43
Books - Audiobooks (Numbers),44
Books - Audiobooks 1C,45
Books - Business Literature,46
"Books - Comics, manga",47
Books - Computer Literature,48
Books - Methodical materials 1ะก,49
Books - Postcards,50
Books - Cognitive Literature,51
Books - Travel Guides,52
Books - Fiction,53
Books - Number,54
Music - CD of local production,55
Music - CD of branded production,56
Music - MP3,57
Music - Vinyl,58
Music - Musical video,59
Music - Gift edition,60
Gifts - Attributes,61
"Gifts - Gadgets, robots, sports",62
Gifts - Soft toys,63
Gifts - Board Games,64
Gifts - Board games (compact),65
"Gifts - Postcards, stickers",66
Gifts - Development,67
"Gifts - Certificates, services",68
Gifts - Souvenirs,69
Gifts - Souvenirs (per sample),70
"Gifts - Bags, Albums, Mouse pads",71
Gifts - Figures,72
Programs - 1C: Enterprise 8,73
Programs - MAC (Number),74
Programs - Home and Office,75
Programs - Home and Office (Figure),76
Programs - Teaching,77
Programs - Teaching (Numbers),78
Office,79
Official - Tickets,80
Clean carriers (spire),81
Clean media (piece),82
Elements of a food,83
